date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2023-07-13,EDTX,2023-07-13 15:18:04,2023-07-13 19:50:00,32.4012,43.112,68.4708,2218.53,732.37,33.0566,48799.65,7.18
2023-07-13,GGAA,2023-07-13 15:18:00,2023-07-13 19:50:00,13.2409,21.5161,167.5558,2218.58,1385.56,62.4974,48067.28,1.58
2023-07-13,EDTXU,2023-07-13 15:15:18,2023-07-13 19:50:00,28.4917,38.4039,77.8694,2218.63,770.86,34.7897,46681.72,1.23
2023-07-13,GGAA,2023-07-13 14:37:15,2023-07-13 19:50:00,12.6933,21.5161,174.7925,2218.68,1541.16,69.508,45910.86,28.65
2023-07-14,PRFX,2023-07-14 14:19:20,2023-07-14 19:50:00,1394.136,1085.667,1.7502,2439.98,-540.87,-22.1262,48255.38,1.59
2023-07-14,FRLN,2023-07-14 14:24:27,2023-07-14 19:50:00,5.0853,5.8154,479.8011,2439.93,347.92,14.3576,48603.29,1.2
2023-07-25,AURC,2023-07-25 15:28:05,2023-07-25 19:50:00,27.0546,35.8402,89.8245,2430.16,788.16,32.4735,49390.45,1.96
2023-08-01,CTNT,2023-08-01 15:58:06,2023-08-01 19:50:00,64.4969,88.803,38.289,2469.52,929.66,37.6858,50319.11,2.02
2023-08-08,BIOL,2023-08-08 15:37:50,2023-08-08 19:50:00,5.8893,6.9626,427.2079,2515.96,456.36,18.2237,50773.34,14.04
2023-08-14,TSHA,2023-08-14 15:22:08,2023-08-14 19:50:00,1.5678,2.01,1619.2544,2538.67,707.88,28.2027,51473.12,1.13
2023-08-15,SRM,2023-08-15 15:14:35,2023-08-15 19:50:00,3.8994,4.9252,660.0133,2573.66,673.71,26.3055,52139.13,1.76
2023-08-15,SRM,2023-08-15 15:20:19,2023-08-15 19:50:00,3.7766,4.9252,681.4327,2573.49,779.26,30.4128,52918.39,3.15
2023-08-15,SPGC,2023-08-15 15:56:23,2023-08-15 19:50:00,2179.845,6912.675,1.1805,2573.32,5586.14,217.1177,58504.53,4.52
2023-08-16,BAOS,2023-08-16 14:27:40,2023-08-16 19:50:00,6.5325,7.99,447.7958,2925.23,650.41,22.3111,59151.7,13.35
2023-08-16,DBGI,2023-08-16 15:29:17,2023-08-16 19:50:00,579.1312,974.4328,5.0509,2925.11,1995.62,68.2577,61147.31,1.83
2023-08-28,FLAG.U,2023-08-28 14:42:09,2023-08-28 19:50:00,8.2108,9.975,372.3568,3057.37,655.03,21.4856,61798.62,3.09
2023-08-28,FLAG.U,2023-08-28 14:50:40,2023-08-28 19:50:00,8.1907,9.975,373.2592,3057.27,664.12,21.7837,62462.74,1.19
2023-08-31,ADTX,2023-08-31 15:53:47,2023-08-31 19:50:00,109930920.0,441852600.0,0.0,3122.81,9427.91,301.9366,84569.42,2.47
