trade_num,date,symbol,entry_ts,exit_ts,entry_px,exit_px,ret_pct,rvol,BOD_equity,pos_size,gross_pnl,commission,net_pnl,equity_after,positions_today
384,2025-06-17,RBNE,2025-06-17 15:52:20,2025-06-17 19:50:00,55.3258,59.6505,7.8169,1.88,15397147.56,100000.0,7816.9,18.07,7798.83,15404946.38,1
385,2025-06-25,LIMN,2025-06-25 13:55:25,2025-06-25 19:50:00,28.8555,25.0722,-13.1112,1.65,15404946.38,100000.0,-13111.2,34.66,-13145.86,15391800.53,1
386,2025-06-27,CTOR,2025-06-27 13:46:11,2025-06-27 19:50:00,4.4823,4.4439,-0.8575,1.27,15391800.53,100000.0,-857.5,223.1,-1080.6,15390719.93,1
387,2025-06-27,WFF,2025-06-27 13:50:33,2025-06-27 19:50:00,39.8482,16.2593,-59.1971,1.07,15391800.53,100000.0,-59197.1,25.1,-59222.2,15331497.73,2
388,2025-06-27,BGL,2025-06-27 14:12:53,2025-06-27 19:50:00,84.4401,62.8426,-25.5773,2.28,15391800.53,100000.0,-25577.3,11.84,-25589.14,15305908.59,3
389,2025-06-27,WFF,2025-06-27 14:16:42,2025-06-27 19:50:00,46.522,16.2593,-65.0504,1.41,15391800.53,100000.0,-65050.4,21.5,-65071.9,15240836.69,4
390,2025-06-27,WFF,2025-06-27 15:51:27,2025-06-27 19:50:00,63.3652,16.2593,-74.3404,1.25,15391800.53,100000.0,-74340.4,15.78,-74356.18,15166480.51,5
391,2025-07-02,BGL,2025-07-02 13:57:28,2025-07-02 19:50:00,126.64,129.0267,1.8846,2.75,15166480.51,100000.0,1884.6,7.9,1876.7,15168357.22,1
392,2025-07-08,PROK,2025-07-08 14:20:23,2025-07-08 19:50:00,1.5075,3.7107,146.1493,2.31,15168357.22,100000.0,146149.3,663.35,145485.95,15313843.17,1
393,2025-07-08,PROK,2025-07-08 14:35:53,2025-07-08 19:50:00,1.8693,3.7107,98.5075,2.67,15168357.22,100000.0,98507.5,534.96,97972.54,15411815.71,2
394,2025-07-08,PROK,2025-07-08 15:07:20,2025-07-08 19:50:00,2.211,3.7107,67.829,1.35,15168357.22,100000.0,67829.0,452.28,67376.72,15479192.42,3
395,2025-07-09,CLDI,2025-07-09 14:01:53,2025-07-09 19:50:00,11.0904,8.4353,-23.9407,1.03,15479192.42,100000.0,-23940.7,90.17,-24030.87,15455161.55,1
396,2025-07-10,MB,2025-07-10 13:49:45,2025-07-10 19:50:00,9.8791,11.3715,15.1061,1.4,15455161.55,100000.0,15106.1,101.22,15004.88,15470166.43,1
397,2025-07-10,CIGL,2025-07-10 14:12:29,2025-07-10 19:50:00,28.7731,5.6459,-80.3781,1.35,15455161.55,100000.0,-80378.1,34.75,-80412.85,15389753.57,2
398,2025-07-11,SDM,2025-07-11 14:49:18,2025-07-11 19:50:00,14.4619,15.8603,9.6688,1.04,15389753.57,100000.0,9668.8,69.15,9599.65,15399353.23,1
399,2025-07-11,EDHL,2025-07-11 15:17:08,2025-07-11 19:50:00,89.5656,83.4197,-6.8619,1.81,15389753.57,100000.0,-6861.9,11.17,-6873.07,15392480.16,2
400,2025-07-14,SQFT,2025-07-14 14:02:14,2025-07-14 19:50:00,14.3212,13.4545,-6.0523,3.22,15392480.16,100000.0,-6052.3,69.83,-6122.13,15386358.04,1
401,2025-07-14,TROO,2025-07-14 14:41:09,2025-07-14 19:50:00,1.206,1.7406,44.3315,609.92,15392480.16,100000.0,44331.5,829.19,43502.31,15429860.35,2
402,2025-07-14,TROO,2025-07-14 15:04:19,2025-07-14 19:50:00,1.216,1.7406,43.1386,7.46,15392480.16,100000.0,43138.6,822.37,42316.23,15472176.58,3
403,2025-07-14,TROO,2025-07-14 15:05:31,2025-07-14 19:50:00,1.3172,1.7406,32.1515,7.57,15392480.16,100000.0,32151.5,759.19,31392.31,15503568.89,4
404,2025-07-14,TROO,2025-07-14 15:18:34,2025-07-14 19:50:00,1.5778,1.7406,10.317,2.77,15392480.16,100000.0,10317.0,633.79,9683.21,15513252.1,5
405,2025-07-15,PCLA,2025-07-15 14:17:03,2025-07-15 19:50:00,101.304,23.3415,-76.959,1.13,15513252.1,100000.0,-76959.0,9.87,-76968.87,15436283.23,1
406,2025-07-21,OPAD,2025-07-21 15:05:30,2025-07-21 19:50:00,2.4673,3.212,30.1821,1.33,15436283.23,100000.0,30182.1,405.3,29776.8,15466060.03,1
407,2025-07-21,MFH,2025-07-21 15:14:13,2025-07-21 19:50:00,5.5828,2.0244,-63.738,2.86,15436283.23,100000.0,-63738.0,179.12,-63917.12,15402142.91,2
408,2025-07-22,PAPL,2025-07-22 14:40:05,2025-07-22 19:50:00,4.1205,3.6708,-10.9137,1.4,15402142.91,100000.0,-10913.7,242.69,-11156.39,15390986.52,1
409,2025-07-22,PAPL,2025-07-22 14:46:27,2025-07-22 19:50:00,3.6381,3.6708,0.8988,5.34,15402142.91,100000.0,898.8,274.87,623.93,15391610.45,2
410,2025-07-24,TLIH,2025-07-24 14:40:43,2025-07-24 19:50:00,6.6832,1.6459,-75.3731,1.32,15391610.45,100000.0,-75373.1,149.63,-75522.73,15316087.72,1
411,2025-07-24,LHAI,2025-07-24 15:08:08,2025-07-24 19:50:00,11.055,5.3666,-51.4559,5.82,15391610.45,100000.0,-51455.9,90.46,-51546.36,15264541.36,2
412,2025-07-28,PFSA,2025-07-28 14:52:08,2025-07-28 19:50:00,59.8477,142.4056,137.9464,4.72,15264541.36,100000.0,137946.4,16.71,137929.69,15402471.05,1
413,2025-07-28,CREV,2025-07-28 14:57:36,2025-07-28 19:50:00,5.5154,5.4513,-1.1622,1.57,15264541.36,100000.0,-1162.2,181.31,-1343.51,15401127.54,2
414,2025-07-29,PTHL,2025-07-29 14:32:23,2025-07-29 19:50:00,31.5168,1.6559,-94.7461,1.38,15401127.54,100000.0,-94746.1,31.73,-94777.83,15306349.71,1
415,2025-07-29,PTHL,2025-07-29 15:13:34,2025-07-29 19:50:00,31.3309,1.6559,-94.715,1.41,15401127.54,100000.0,-94715.0,31.92,-94746.92,15211602.8,2
416,2025-08-15,IROH,2025-08-15 14:53:09,2025-08-15 19:50:00,7.9897,7.1321,-10.7341,17.66,15211602.8,100000.0,-10734.1,125.16,-10859.26,15200743.54,1
417,2025-08-25,HTCR,2025-08-25 14:21:57,2025-08-25 19:50:00,17.7805,24.738,39.1303,2.33,15200743.54,100000.0,39130.3,56.24,39074.06,15239817.59,1
418,2025-08-28,SOGP,2025-08-28 13:56:00,2025-08-28 19:50:00,6.1305,13.156,114.5996,2.7,15239817.59,100000.0,114599.6,163.12,114436.48,15354254.08,1
419,2025-08-28,SOGP,2025-08-28 14:12:29,2025-08-28 19:50:00,6.6631,13.156,97.4446,1.48,15239817.59,100000.0,97444.6,150.08,97294.52,15451548.59,2
420,2025-08-28,SOGP,2025-08-28 14:31:45,2025-08-28 19:50:00,6.3013,13.156,108.7811,1.19,15239817.59,100000.0,108781.1,158.7,108622.4,15560171.0,3
421,2025-08-28,SOGP,2025-08-28 15:15:08,2025-08-28 19:50:00,7.0601,13.156,86.3427,1.04,15239817.59,100000.0,86342.7,141.64,86201.06,15646372.06,4
422,2025-09-08,GLXG,2025-09-08 13:56:54,2025-09-08 19:50:00,3.9697,4.0,0.7614,1.22,15646372.06,100000.0,761.4,251.91,509.49,15646881.55,1
423,2025-09-08,KRKR,2025-09-08 14:11:08,2025-09-08 19:50:00,7.8993,10.0548,27.2872,1.28,15646372.06,100000.0,27287.2,126.59,27160.61,15674042.15,2
424,2025-09-08,CIGL,2025-09-08 15:24:44,2025-09-08 19:50:00,5.025,5.9651,18.7075,4.83,15646372.06,100000.0,18707.5,199.0,18508.5,15692550.65,3
425,2025-09-09,QMMM,2025-09-09 14:02:52,2025-09-09 19:50:00,16.9342,252.3176,1389.9841,4.98,15692550.65,100000.0,1389984.1,59.05,1389925.05,17082475.7,1
426,2025-09-09,QMMM,2025-09-09 14:09:32,2025-09-09 19:50:00,18.8839,252.3176,1236.1486,1.48,15692550.65,100000.0,1236148.6,52.96,1236095.64,18318571.34,2
427,2025-09-09,QMMM,2025-09-09 14:12:53,2025-09-09 19:50:00,22.0396,252.3176,1044.835,1.43,15692550.65,100000.0,1044835.0,45.37,1044789.63,19363360.97,3
428,2025-09-09,QMMM,2025-09-09 14:19:28,2025-09-09 19:50:00,17.9091,252.3176,1308.8794,5.63,15692550.65,100000.0,1308879.4,55.84,1308823.56,20672184.53,4
429,2025-09-09,ISPC,2025-09-09 14:52:42,2025-09-09 19:50:00,1.2562,2.2543,79.4428,5.99,15692550.65,100000.0,79442.8,796.05,78646.75,20750831.28,5
430,2025-09-09,ISPC,2025-09-09 15:05:43,2025-09-09 19:50:00,1.7286,2.2543,30.409,1.05,15692550.65,100000.0,30409.0,578.5,29830.5,20780661.78,6
431,2025-09-09,ENGS,2025-09-09 15:16:58,2025-09-09 19:50:00,4.5175,5.8853,30.2774,6.39,15692550.65,100000.0,30277.4,221.36,30056.04,20810717.82,7
432,2025-09-09,QMMM,2025-09-09 15:27:47,2025-09-09 19:50:00,15.6981,252.3176,1507.3131,1.26,15692550.65,100000.0,1507313.1,63.7,1507249.4,22317967.21,8
433,2025-09-09,ISPC,2025-09-09 15:32:02,2025-09-09 19:50:00,2.623,2.2543,-14.06,1.28,15692550.65,100000.0,-14060.0,381.24,-14441.24,22303525.97,9
434,2025-09-09,QMMM,2025-09-09 15:38:37,2025-09-09 19:50:00,18.7734,252.3176,1244.0167,2.5,15692550.65,100000.0,1244016.7,53.27,1243963.43,23547489.4,10
435,2025-09-09,ISPC,2025-09-09 15:58:09,2025-09-09 19:50:00,1.9798,2.2543,13.8596,2.31,15692550.65,100000.0,13859.6,505.1,13354.5,23560843.9,11
436,2025-09-10,KIDZ,2025-09-10 15:30:42,2025-09-10 19:50:00,83.9275,108.7275,29.5492,1.12,23560843.9,100000.0,29549.2,11.92,29537.28,23590381.19,1
437,2025-09-11,ZGM,2025-09-11 15:09:21,2025-09-11 19:50:00,4.2109,3.0524,-27.514,8.63,23590381.19,100000.0,-27514.0,237.48,-27751.48,23562629.71,1
438,2025-09-11,ZGM,2025-09-11 15:15:37,2025-09-11 19:50:00,4.1353,3.0524,-26.1875,7.0,23590381.19,100000.0,-26187.5,241.82,-26429.32,23536200.39,2
439,2025-09-11,ZGM,2025-09-11 15:20:04,2025-09-11 19:50:00,4.1657,3.0524,-26.727,1.97,23590381.19,100000.0,-26727.0,240.06,-26967.06,23509233.33,3
440,2025-09-18,FBYD,2025-09-18 14:15:55,2025-09-18 19:50:00,13.9909,14.384,2.8093,5.3,23509233.33,100000.0,2809.3,71.48,2737.82,23511971.16,1
441,2025-09-18,BREA,2025-09-18 15:34:35,2025-09-18 19:50:00,21.9391,25.6245,16.798,18.04,23509233.33,100000.0,16798.0,45.58,16752.42,23528723.58,2
442,2025-09-19,PLTS,2025-09-19 15:34:58,2025-09-19 19:50:00,5.5074,7.2319,31.312,27.91,23528723.58,100000.0,31312.0,181.57,31130.43,23559854.0,1
443,2025-09-22,LNZA,2025-09-22 14:03:26,2025-09-22 19:50:00,18.3211,23.2817,27.0753,9.75,23559854.0,100000.0,27075.3,54.58,27020.72,23586874.72,1
444,2025-09-29,WOLF,2025-09-29 15:44:23,2025-09-29 19:50:00,19.095,18.354,-3.8806,4.33,23586874.72,100000.0,-3880.6,52.37,-3932.97,23582941.75,1
445,2025-09-30,CHOW,2025-09-30 13:48:49,2025-09-30 19:50:00,5.498,6.4139,16.6602,2.38,23582941.75,100000.0,16660.2,181.88,16478.32,23599420.07,1
446,2025-10-06,SPRB,2025-10-06 14:19:54,2025-10-06 19:50:00,34.4011,152.1387,342.2489,1.99,23599420.07,100000.0,342248.9,29.07,342219.83,23941639.9,1
447,2025-10-06,SPRB,2025-10-06 14:25:29,2025-10-06 19:50:00,38.8784,152.1387,291.3191,1.47,23599420.07,100000.0,291319.1,25.72,291293.38,24232933.28,2
448,2025-10-07,NITO,2025-10-07 13:48:41,2025-10-07 19:50:00,4.422,4.6101,4.2548,2.64,24232933.28,100000.0,4254.8,226.14,4028.66,24236961.94,1
449,2025-10-07,NITO,2025-10-07 13:57:03,2025-10-07 19:50:00,4.62,4.6101,-0.213,1.64,24232933.28,100000.0,-213.0,216.45,-429.45,24236532.49,2
450,2025-10-07,NITO,2025-10-07 14:06:48,2025-10-07 19:50:00,4.5053,4.6101,2.3268,2.35,24232933.28,100000.0,2326.8,221.96,2104.84,24238637.32,3
451,2025-10-07,AGRZ,2025-10-07 14:07:16,2025-10-07 19:50:00,3.4264,4.1696,21.6873,1.54,24232933.28,100000.0,21687.3,291.85,21395.45,24260032.77,4
452,2025-10-07,BQ,2025-10-07 15:00:33,2025-10-07 19:50:00,31.5972,11.8703,-62.4326,2.94,24232933.28,100000.0,-62432.6,31.65,-62464.25,24197568.52,5
453,2025-10-09,BRLS,2025-10-09 14:00:57,2025-10-09 19:50:00,3.8204,3.2607,-14.6497,19.84,24197568.52,100000.0,-14649.7,261.75,-14911.45,24182657.07,1
454,2025-10-13,XCH,2025-10-13 13:57:19,2025-10-13 19:50:00,1.147,1.7257,50.4503,1.53,24182657.07,100000.0,50450.3,871.84,49578.46,24232235.53,1
455,2025-10-13,STI,2025-10-13 14:28:48,2025-10-13 19:50:00,10.9545,21.1676,93.2324,2.82,24182657.07,100000.0,93232.4,91.29,93141.11,24325376.65,2
456,2025-10-13,STI,2025-10-13 15:04:17,2025-10-13 19:50:00,12.7736,21.1676,65.7147,1.15,24182657.07,100000.0,65714.7,78.29,65636.41,24391013.06,3
457,2025-10-17,RANI,2025-10-17 15:32:13,2025-10-17 19:50:00,1.7386,1.6559,-4.7566,2.33,24391013.06,100000.0,-4756.6,575.18,-5331.78,24385681.28,1
458,2025-10-24,JL,2025-10-24 16:00:41,2025-10-24 19:50:00,6.6652,6.394,-4.0687,1.51,24385681.28,100000.0,-4068.7,150.03,-4218.73,24381462.55,1
459,2025-10-29,CMBM,2025-10-29 13:52:49,2025-10-29 19:50:00,1.8829,2.9426,56.2842,3.72,24381462.55,100000.0,56284.2,531.1,55753.1,24437215.65,1
460,2025-10-29,CMBM,2025-10-29 14:01:01,2025-10-29 19:50:00,2.0435,2.9426,44.0016,4.64,24381462.55,100000.0,44001.6,489.36,43512.24,24480727.9,2
461,2025-10-29,CMBM,2025-10-29 14:23:37,2025-10-29 19:50:00,1.7085,2.9426,72.2344,1.18,24381462.55,100000.0,72234.4,585.31,71649.09,24552376.99,3
462,2025-10-29,CMBM,2025-10-29 14:59:18,2025-10-29 19:50:00,1.9195,2.9426,53.2976,1.93,24381462.55,100000.0,53297.6,520.97,52776.63,24605153.62,4
463,2025-10-29,CMBM,2025-10-29 15:06:06,2025-10-29 19:50:00,1.8895,2.9426,55.7356,1.35,24381462.55,100000.0,55735.6,529.24,55206.36,24660359.98,5
464,2025-10-29,CMBM,2025-10-29 15:39:06,2025-10-29 19:50:00,1.9145,2.9426,53.7,1.23,24381462.55,100000.0,53700.0,522.33,53177.67,24713537.65,6
465,2025-10-29,CMBM,2025-10-29 15:50:53,2025-10-29 19:50:00,1.7185,2.9426,71.2272,1.27,24381462.55,100000.0,71227.2,581.9,70645.3,24784182.95,7
466,2025-10-30,BQ,2025-10-30 14:24:10,2025-10-30 19:50:00,8.7485,17.6907,102.2131,1.23,24784182.95,100000.0,102213.1,114.31,102098.79,24886281.74,1
467,2025-10-30,BQ,2025-10-30 14:47:09,2025-10-30 19:50:00,8.7436,17.6907,102.327,1.9,24784182.95,100000.0,102327.0,114.37,102212.63,24988494.37,2
468,2025-10-31,APLM,2025-10-31 14:20:59,2025-10-31 19:50:00,13.5675,14.6433,7.9292,2.21,24988494.37,100000.0,7929.2,73.71,7855.49,24996349.87,1
469,2025-11-12,LPTX,2025-11-12 15:28:19,2025-11-12 20:50:00,1.055,2.1865,107.2435,1.55,24996349.87,100000.0,107243.5,947.87,106295.63,25102645.5,1
470,2025-11-19,WSHP,2025-11-19 15:55:27,2025-11-19 20:50:00,48.9435,203.49,315.7651,1.71,25102645.5,100000.0,315765.1,20.43,315744.67,25418390.17,1
471,2025-11-20,SGBX,2025-11-20 14:45:14,2025-11-20 20:50:00,7.839,3.9701,-49.3551,1.09,25418390.17,100000.0,-49355.1,127.57,-49482.67,25368907.5,1
